match_id,liga,home,away,inicio_local,actualizado,1x2_home,1x2_away,1x2_draw,hdp_home_1.25,hdp_away_-1.25,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_10.0_over,corners_total_10.0_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.25,hdp_away_0.25,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_9.5_over,corners_total_9.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_-1.25,hdp_away_1.25,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_2.5_over,corners_away_2.5_under,hdp_home_-0.5,hdp_away_0.5,hdp_home_-0.75,hdp_away_0.75,corners_total_10.5_over,corners_total_10.5_under,hdp_home_0.25,hdp_away_-0.25,corners_away_4.5_over,corners_away_4.5_under,hdp_home_-1.75,hdp_away_1.75,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_home_7.5_over,corners_home_7.5_under,hdp_home_0.5,hdp_away_-0.5,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,hdp_home_0.0,hdp_away_-0.0,hdp_home_-1.0,hdp_away_1.0,corners_home_6.5_over,corners_home_6.5_under,hdp_home_-2.5,hdp_away_2.5,goles_3.75_over,goles_3.75_under,goles_tt_home_3.5_over,goles_tt_home_3.5_under,goles_1.0_over,goles_1.0_under,hdp_home_-2.0,hdp_away_2.0,goles_4.5_over,goles_4.5_under,goles_3.5_over,goles_3.5_under,corners_total_11.0_over,corners_total_11.0_under,hdp_home_1.0,hdp_away_-1.0,goles_3.25_over,goles_3.25_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,hdp_home_0.75,hdp_away_-0.75,corners_total_11.5_over,corners_total_11.5_under,hdp_home_-2.25,hdp_away_2.25,corners_total_12.0_over,corners_total_12.0_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_-1.5,hdp_away_1.5,hdp_home_1.75,hdp_away_-1.75
1634425794,La Liga,Real Madrid,Málaga,2026-08-30 11:00,2026-08-28 15:38:44,1.1238,17.82,10.76,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.7519,,,,,,,,,1.3472,3.22,,,,,2.17,1.6536,,,,,2.27,1.6098,,,,,,,,,2.04,1.7299,,,,,,,,,,,,,1.9524,1.9346,2.02,1.8547,2.43,1.5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634164174,Ligue 1,Stade Rennais,Le Mans,2026-08-30 11:15,2026-08-28 15:37:44,1.4292,7.1,5.05,,,,,,,,,,,,,,,,,,,,,,,,,1.6135,2.36,,,,,2.12,1.6757,1.9346,1.9709,,,,,,,,,,,,,,,,,,,,,2.45,1.5747,,,,,1.9346,1.9524,1.2538,4.11,,,,,1.9901,1.7752,,,,,,,,,,,,,,,2.6,1.4587,,,,,,,,,,,,,,,,,,,,
1632359459,Bundesliga,Augsburg,Schalke 04,2026-08-30 11:30,2026-08-28 14:35:20,2.19,3.24,3.73,,,,,,,,,2.57,1.5291,,,,,,,1.9174,1.9901,,,,,1.9901,1.8475,,,,,1.6667,2.13,,,,,1.9259,1.9615,1.2717,3.93,,,,,,,,,2.38,1.5435,,,2.01,1.7576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634425802,Premier League,Man United,Ipswich Town,2026-08-30 11:30,2026-08-28 15:36:26,1.4202,7.23,5.11,,,,,,,,,,,,,,,,,,,,,,,,,1.6536,2.28,,,,,2.09,1.6897,1.9259,1.9804,,,,,,,,,,,,,2.22,1.6369,,,,,,,2.49,1.5587,,,,,2.0,1.8929,1.2725,3.92,,,,,1.9709,1.7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634440425,Serie A,Napoli,Como 1907,2026-08-30 12:30,2026-08-28 15:39:31,2.51,3.14,3.16,,,,,,,,,,,,,,,,,2.14,1.7937,2.11,1.8,1.289,3.77,2.8,1.4587,1.4608,2.79,2.57,1.4808,2.01,1.7519,1.8,1.9615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634425795,La Liga,Deportivo,Valencia,2026-08-30 13:30,2026-08-28 15:38:24,2.59,3.14,3.04,,,,,,,,,,,2.41,1.5405,,,,,,,,,,,2.89,1.4348,1.4525,2.82,,,1.8333,1.9346,,,,,,,,,,,,,,,,,,,,,2.08,1.6993,,,,,,,,,,,1.8065,2.11,1.7812,2.16,,,,,,,,,,,1.1393,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634172505,Ligue 1,Monaco,Marseille,2026-08-30 14:45,2026-08-28 15:37:55,2.44,2.8,3.75,,,,,,,,,2.15,1.7299,,,,,,,,,,,,,1.9346,1.8929,,,,,1.7874,1.9804,,,,,,,,,,,,,,,,,2.37,1.5495,,,1.9615,1.8,,,,,,,,,1.9434,1.9434,1.2513,4.13,1.8264,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634440422,Serie A,Cagliari,Inter,2026-08-30 14:45,2026-08-28 15:39:19,7.9,1.4405,4.59,1.8929,2.02,1.9524,1.9346,1.3021,3.66,1.9259,1.9091,1.625,2.34,2.34,1.5747,2.06,1.7143,1.8696,1.9009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634444741,Serie A,Lazio,Genoa,2026-08-30 14:45,2026-08-28 15:39:27,2.07,4.27,3.16,,,,,,,,,,,,,,,,,,,2.11,1.8,1.289,3.77,2.36,1.6135,1.6173,2.36,2.3,1.5917,1.6211,2.21,1.9524,1.8065,,,,,,,,,,,2.08,1.8403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634440428,La Liga,Celta Vigo,Athletic Bilbao,2026-08-30 15:30,2026-08-28 14:35:48,2.47,3.06,3.31,,,,,,,,,2.93,1.4237,,,,,,,2.13,1.8065,1.8547,2.04,1.2232,4.48,2.51,1.5525,,,2.35,1.5714,2.09,1.6897,1.6494,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634471595,Ligue 1,Olympique Lyon,Auxerre,2026-09-04 13:00,2026-09-04 16:47:28,1.4167,8.0,5.15,,,,,,,,,,,,,,,,,,,1.3401,3.37,,,,,1.5464,2.49,,,,,1.9091,1.8696,,,,,,,,,,,,,,,,,,,,,,,2.27,1.6452,,,,,,,,,,,,,2.06,1.7299,,,,,,,,,,,,,,,2.44,1.5291,,,2.0,1.9009,,,,,,,,,,,,,2.11,1.8333,,
